"car_id","price","scrapedate","sold","mpg","milage","maketype","car_id..8","region","year","link","make","type","dealer"
4939501,135801,2023-11-11,0,"15.6",219000,"Ford Fusion 1,4 Trend 5d",4939501,"Nordsjælland",2003,"https://bilbasen.dk/brugt/bil/ford/fusion/14-trend-5d/4939501","Ford","Fusion","NA"
5447183,177173,2023-11-11,0,"13.0",273000,"Toyota Corolla Verso 1,8 Terra 7prs 5d",5447183,"Nordjylland",2005,"https://bilbasen.dk/brugt/bil/toyota/corolla-verso/18-terra-7prs-5d/5447183","Toyota","Corolla","NA"
5463945,18081,2023-11-11,0,"21.3",27000,"Ford Focus 1,0 SCTi 125 ST-Line 5d",5463945,"København",2018,"https://bilbasen.dk/brugt/bil/ford/focus/10-scti-125-st-line-5d/5463945","Ford","Focus","NA"
5486483,74091,2023-11-11,0,"20.8",117000,"Toyota Yaris 1,0 VVT-i T1 5d",5486483,"Syd- og Vestsjælland",2011,"https://bilbasen.dk/brugt/bil/toyota/yaris/10-vvt-i-t1-5d/5486483","Toyota","Yaris","NA"
5505112,83691,2023-11-11,0,"17.7",11000,"Toyota Supra 2,0 GR Sport aut. 3d",5505112,"Østjylland",2020,"https://bilbasen.dk/brugt/bil/toyota/supra/20-gr-sport-aut-3d/5505112","Toyota","Supra","5854ba74-c2bb-4979-ab9e-74494649bbee"
5505302,75832,2023-11-11,0,"24.2",10000,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5505302,"Nordsjælland",2022,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-ecoboost-mhev-titanium-5d/5505302","Ford","Fiesta","631c3a6e-d1cd-430d-9985-05ae242d40ef"
5511797,23434,2023-11-11,0,"23.3",220000,"Toyota Aygo 1,0 VVT-i T1 5d",5511797,"Fyn",2012,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-t1-5d/5511797","Toyota","Aygo","NA"
5517273,141423,2023-11-11,0,"26.3",76500,"Toyota Aygo 1,0 VVT-i x-clusiv 3d",5517273,"København",2015,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-clusiv-3d/5517273","Toyota","Aygo",NA
5552556,174867,2023-11-11,0,"15.4",65000,"Volvo S90 2,0 T5 254 Momentum aut. 4d",5552556,"Østjylland",2017,"https://bilbasen.dk/brugt/bil/volvo/s90/20-t5-254-momentum-aut-4d/5552556","Volvo","S90","NA"
5560588,29585,2023-11-11,0,"12.5",92000,"Ford Sierra 1,6 CL 4d",5560588,"Nordjylland",1990,"https://bilbasen.dk/brugt/bil/ford/sierra/16-cl-4d/5560588","Ford","Sierra","NA"
5563681,120393,2023-11-11,0,"23.3",120000,"Ford Fiesta 1,0 SCTi 100 Titanium X 5d",5563681,"Syd- og Sønderjylland",2015,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-titanium-x-5d/5563681","Ford","Fiesta","49386c8c-ae10-4ba7-b8ae-636814a24152"
5567421,331330,2023-11-11,0,"23.3",33000,"Ford Fiesta 1,0 SCTi 100 Titanium 3d",5567421,"Syd- og Sønderjylland",2014,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-titanium-3d/5567421","Ford","Fiesta","7894861f-aa48-4b64-9403-5c211ac5f409"
5573097,67541,2023-11-11,0,"10.5",8000,"Ford Mustang 5,0 V8 GT Convertible aut. 2d",5573097,"Syd- og Sønderjylland",2021,"https://bilbasen.dk/brugt/bil/ford/mustang/50-v8-gt-convertible-aut-2d/5573097","Ford","Mustang","NA"
5578060,19162,2023-11-11,0,"11.4",240000,"Volvo S60 2,4 140 4d",5578060,"Nordsjælland",2007,"https://bilbasen.dk/brugt/bil/volvo/s60/24-140-4d/5578060","Volvo","S60","NA"
5591356,28238,2023-11-11,0,"23.3",257000,"Ford Fiesta 1,0 SCTi 100 Trend 5d",5591356,"Østjylland",2013,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-trend-5d/5591356","Ford","Fiesta","NA"
5594992,173273,2023-11-11,0,"26.8",33000,"Ford Focus 1,0 EcoBoost mHEV ST-Line 5d",5594992,"Nordjylland",2020,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-st-line-5d/5594992","Ford","Focus","NA"
5608976,84425,2023-11-11,0,"28.9",32670,"Toyota Aygo 1,0 VVT-i x-pression 5d",5608976,"Syd- og Vestsjælland",2019,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-pression-5d/5608976","Toyota","Aygo","NA"
5612642,39476,2023-11-11,0,"20.8",83000,"Ford Focus 1,0 SCTi 125 Titanium stc. 5d",5612642,"Nordjylland",2018,"https://bilbasen.dk/brugt/bil/ford/focus/10-scti-125-titanium-stc-5d/5612642","Ford","Focus","83f9c68b-b15f-4426-b4e7-e58ebec72251"
5613261,78169,2023-11-11,0,"25.6",28500,"Ford Puma 1,0 EcoBoost mHEV Titanium 5d",5613261,"Fyn",2020,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-titanium-5d/5613261","Ford","Puma","NA"
5613964,70336,2023-11-11,0,"23.3",89400,"Ford Fiesta 1,0 SCTi 125 Trend 5d",5613964,"Vestjylland",2015,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-125-trend-5d/5613964","Ford","Fiesta","NA"
5615076,290494,2023-11-11,0,"20.4",96800,"Ford Ka 1,2 Trend+ 3d",5615076,"Østjylland",2013,"https://bilbasen.dk/brugt/bil/ford/ka/12-trend-3d/5615076","Ford","Ka","NA"
5620267,18813,2023-11-11,0,"20.8",149000,"Ford Focus 1,0 SCTi 125 Titanium stc. 5d",5620267,"Syd- og Sønderjylland",2017,"https://bilbasen.dk/brugt/bil/ford/focus/10-scti-125-titanium-stc-5d/5620267","Ford","Focus","NA"
5624858,58512,2023-11-11,0,"20.4",150050,"Ford Fiesta 1,0 SCTi 100 Titanium aut. 5d",5624858,"Nordsjælland",2015,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-titanium-aut-5d/5624858","Ford","Fiesta","NA"
5630126,226528,2023-11-11,0,"9.9",216000,"Volvo V70 2,5 T aut. 5d",5630126,"Syd- og Vestsjælland",2007,"https://bilbasen.dk/brugt/bil/volvo/v70/25-t-aut-5d/5630126","Volvo","V70","NA"
5630716,25151,2023-11-11,0,"17.9",93000,"Ford Focus 1,5 SCTi 150 Titanium stc. 5d",5630716,"Vestjylland",2017,"https://bilbasen.dk/brugt/bil/ford/focus/15-scti-150-titanium-stc-5d/5630716","Ford","Focus","NA"
