"mpg","milage","maketype","car_id","region","year","make","type"
23.7,10600,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5519249,"København",2021,"Ford","Fiesta"
23.3,69000,"Ford Fiesta 1,0 SCTi 100 Titanium 5d",5541438,"Syd- og Vestsjælland",2013,"Ford","Fiesta"
23.4,51000,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5552859,"Syd- og Sønderjylland",2019,"Ford","Fiesta"
23.3,50000,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5564599,"Nordjylland",2017,"Ford","Fiesta"
14.7,163000,"Toyota Starlet 1,3 XLi Chaser 5d",5570243,"København",1997,"Toyota","Starlet"
26.3,141000,"Toyota Aygo 1,0 VVT-i x-cite 5d",5582606,"Østjylland",2014,"Toyota","Aygo"
19.3,52000,"Volvo V40 1,5 T3 152 Dynamic Edition aut. 5d",5584006,"Syd- og Sønderjylland",2019,"Volvo","V40"
28.9,74000,"Toyota Aygo 1,0 VVT-i x-pression 5d",5592408,"Vestjylland",2019,"Toyota","Aygo"
22.4,10000,"Ford Focus 1,0 EcoBoost mHEV Active stc. 5d",5593962,"København",2021,"Ford","Focus"
12.7,249600,"Ford Mondeo 2,0 Trend 5d",5600486,"Vestjylland",2007,"Ford","Mondeo"
14.5,133000,"Ford Grand C-MAX 1,6 SCTi 182 Titanium 7prs 5d",5607943,"Østjylland",2011,"Ford","Grand"
23.3,119386,"Toyota Yaris 1,0 VVT-i T1 Style 5d",5608256,"Syd- og Vestsjælland",2016,"Toyota","Yaris"
28.9,28000,"Toyota Aygo 1,0 VVT-i x-sky 5d",5610614,"Nordsjælland",2019,"Toyota","Aygo"
28.9,58000,"Toyota Aygo 1,0 VVT-i x-sky 5d",5611166,"Vestjylland",2019,"Toyota","Aygo"
26.2,12000,"Toyota Aygo 1,0 VVT-i x-press x-shift 5d",5620191,"",2020,"Toyota","Aygo"
26.3,158700,"Toyota Aygo 1,0 VVT-i x-play 5d",5626831,"Syd- og Vestsjælland",2016,"Toyota","Aygo"
23.3,141000,"Ford Fiesta 1,0 80 Trend 5d",5627391,"Østjylland",2016,"Ford","Fiesta"
23.3,110000,"Toyota Yaris 1,0 VVT-i T1 5d",5629535,"Nordjylland",2015,"Toyota","Yaris"
17.7,92000,"Toyota RAV4 2,0 T3 AWD 5d",5630212,"Syd- og Vestsjælland",2019,"Toyota","RAV4"
15.2,155000,"Toyota Avensis 1,8 VVT-i T2 Touch stc. 5d",5630934,"Nordsjælland",2014,"Toyota","Avensis"
12.0,86000,"Toyota Yaris 2,0 5d",5631112,"Syd- og Vestsjælland",2014,"Toyota","Yaris"
15.1,17000,"Toyota Corolla 1,4 5d",5631534,"Nordsjælland",2001,"Toyota","Corolla"
